Arquivo,Tamanho (KB),Data Modificação
TG040_47773_67630_01319_000_20260220133033_91.13.BIN,23.37,20/02/2026 20:07
TG040_47773_67630_01320_000_20260220200659_91.13.BIN,14.69,20/02/2026 20:07
TG040_47773_67630_01321_000_20260220233217_91.13.BIN,9.67,20/02/2026 23:35
TG047_47670_66824_01159_000_20260220104537_91.13.BIN,44.84,20/02/2026 10:52
TG047_47670_66824_01160_000_20260220202856_91.13.BIN,36.52,20/02/2026 20:32
TG047_47673_67084_01504_000_20260220122238_91.13.BIN,38.35,20/02/2026 22:20
TG047_47673_67084_01505_000_20260220220610_91.13.BIN,41.24,20/02/2026 22:20
TG047_47677_66707_01234_000_20260220051453_91.13.BIN,3.68,20/02/2026 05:15
TG047_47677_66707_01235_000_20260220141113_91.13.BIN,3.22,20/02/2026 14:11
TG047_47677_66707_01236_000_20260220164509_91.13.BIN,2.55,20/02/2026 16:46
TG047_47753_66156_01247_000_20260220131818_91.13.BIN,37.82,20/02/2026 13:42
TG047_47753_66156_01248_000_20260220134030_91.13.BIN,2.71,20/02/2026 13:42
TG047_47753_66156_01249_000_20260220202159_91.13.BIN,21.96,20/02/2026 20:32
TG047_47758_67499_01161_000_20260220142640_91.13.BIN,54.94,20/02/2026 22:48
TG047_47758_67499_01162_000_20260220224813_91.13.BIN,27.18,20/02/2026 22:48
TG047_47761_67438_00987_000_20260220052805_91.13.BIN,7.35,20/02/2026 05:27
TG047_47761_67438_00988_000_20260220142235_91.13.BIN,31.84,20/02/2026 14:23
TG047_47761_67438_00989_000_20260220190115_91.13.BIN,4.77,20/02/2026 19:00
TG047_47763_66211_01216_000_20260220142302_91.13.BIN,75.09,20/02/2026 21:56
TG047_47763_66211_01217_000_20260220215050_91.13.BIN,60.93,20/02/2026 21:56
TG047_47766_68092_01191_000_20260220124710_91.13.BIN,30.67,20/02/2026 19:40
TG047_47766_68092_01192_000_20260220193530_91.13.BIN,29.09,20/02/2026 19:40
TG047_47767_66871_01388_000_20260220122256_91.13.BIN,48.59,20/02/2026 20:00
TG047_47767_66871_01389_000_20260220192308_91.13.BIN,50.03,20/02/2026 20:00
TG047_47767_66871_01390_000_20260220223340_91.13.BIN,7.48,20/02/2026 22:34
TG047_47769_66739_00835_000_20260220133119_91.13.BIN,43.68,20/02/2026 20:17
TG047_47769_66739_00836_000_20260220194741_91.13.BIN,35.00,20/02/2026 20:17
TG047_47771_67712_01481_000_20260220123830_91.13.BIN,42.84,20/02/2026 20:10
TG047_47771_67712_01482_000_20260220195437_91.13.BIN,26.65,20/02/2026 20:10
TG047_47772_67717_01331_000_20260220091315_91.13.BIN,30.49,20/02/2026 09:13
TG047_47772_67717_01332_000_20260220191857_91.13.BIN,23.63,20/02/2026 19:38
TG047_47774_68049_00640_000_20260220063212_91.13.BIN,3.28,20/02/2026 06:31
TG047_47774_68049_00641_000_20260220131649_91.13.BIN,25.49,20/02/2026 21:58
TG047_47774_68049_00642_000_20260220215852_91.13.BIN,35.07,20/02/2026 21:58
TG047_47775_67734_01112_000_20260220124520_91.13.BIN,91.67,20/02/2026 14:01
TG047_47775_67734_01113_000_20260220140035_91.13.BIN,8.40,20/02/2026 14:01
TG047_47775_67734_01114_000_20260220231543_91.13.BIN,57.01,20/02/2026 23:43
TG047_47776_66986_01406_000_20260220132046_91.13.BIN,49.55,20/02/2026 13:44
TG047_47776_66986_01407_000_20260220205557_91.13.BIN,11.94,20/02/2026 22:47
TG047_47778_67365_00676_000_20260220115700_91.13.BIN,48.65,20/02/2026 19:35
TG047_47778_67365_00677_000_20260220193543_91.13.BIN,51.44,20/02/2026 19:35
TG047_47778_67365_00678_000_20260220232850_91.13.BIN,4.75,20/02/2026 23:31
TG047_47779_66302_01597_000_20260220215020_91.13.BIN,15.13,20/02/2026 22:13
TG047_47780_68094_01409_000_20260220123242_91.13.BIN,47.45,20/02/2026 20:50
TG047_47780_68094_01410_000_20260220202629_91.13.BIN,46.08,20/02/2026 20:50
