Arquivo,Tamanho (KB),Data Modificação
TG047_47262_66825_01498_000_20260306060811_91.13.BIN,3.72,06/03/2026 06:08
TG047_47262_66825_01499_000_20260306115722_91.13.BIN,9.64,06/03/2026 11:57
TG047_47262_66825_01500_000_20260306183957_91.13.BIN,27.55,06/03/2026 18:53
TG047_47270_66617_01252_000_20260306211117_91.13.BIN,31.25,06/03/2026 21:11
TG047_47670_66824_01173_000_20260306102927_91.13.BIN,42.09,06/03/2026 10:29
TG047_47670_66824_01174_000_20260306152206_91.13.BIN,2.83,06/03/2026 15:23
TG047_47671_66236_01532_000_20260306062935_91.13.BIN,3.07,06/03/2026 06:29
TG047_47671_66236_01533_000_20260306124134_91.13.BIN,13.60,06/03/2026 21:48
TG047_47671_66236_01534_000_20260306192748_91.13.BIN,28.28,06/03/2026 21:48
TG047_47674_66981_01700_000_20260306140413_91.13.BIN,36.02,06/03/2026 14:12
TG047_47674_66981_01701_000_20260306222204_91.13.BIN,24.81,06/03/2026 22:33
TG047_47683_66467_01292_000_20260306122641_91.13.BIN,52.49,06/03/2026 16:12
TG047_47683_66467_01293_000_20260306161324_91.13.BIN,21.20,06/03/2026 16:12
TG047_47686_67083_01308_000_20260306111158_91.13.BIN,31.71,06/03/2026 11:53
TG047_47686_67083_01309_000_20260306224632_91.13.BIN,29.70,06/03/2026 22:47
TG047_47753_66156_01266_000_20260306200134_91.13.BIN,14.89,06/03/2026 20:08
TG047_47761_67438_01005_000_20260306142014_91.13.BIN,41.04,06/03/2026 14:20
TG047_47761_67438_01006_000_20260306233922_91.13.BIN,26.31,07/03/2026 00:03
TG047_47763_66211_01239_000_20260306134904_91.13.BIN,89.81,06/03/2026 19:56
TG047_47763_66211_01240_000_20260306195645_91.13.BIN,47.56,06/03/2026 19:56
TG047_47764_66995_01175_000_20260306152324_91.13.BIN,59.35,06/03/2026 21:29
TG047_47764_66995_01176_000_20260306213023_91.13.BIN,39.10,06/03/2026 21:29
TG047_47766_68092_01214_000_20260306140035_91.13.BIN,30.75,06/03/2026 20:51
TG047_47766_68092_01215_000_20260306205150_91.13.BIN,23.58,06/03/2026 20:51
TG047_47767_66871_01418_000_20260306143643_91.13.BIN,27.36,06/03/2026 21:59
TG047_47767_66871_01419_000_20260306214734_91.13.BIN,25.92,06/03/2026 22:01
TG047_47769_66739_00860_000_20260306131216_91.13.BIN,26.92,06/03/2026 20:35
TG047_47769_66739_00861_000_20260306203451_91.13.BIN,50.84,06/03/2026 20:35
TG047_47770_67049_01339_000_20260306112526_91.13.BIN,4.74,06/03/2026 11:56
TG047_47770_67049_01340_000_20260306142550_91.13.BIN,2.68,06/03/2026 20:06
TG047_47770_67049_01341_000_20260306192712_91.13.BIN,42.36,06/03/2026 20:06
TG047_47771_67712_01496_000_20260306142257_91.13.BIN,45.33,06/03/2026 20:12
TG047_47771_67712_01497_000_20260306193806_91.13.BIN,20.33,06/03/2026 20:12
TG047_47772_67717_01359_000_20260306125726_91.13.BIN,19.28,06/03/2026 20:33
TG047_47772_67717_01360_000_20260306203024_91.13.BIN,26.24,06/03/2026 20:33
TG047_47775_67734_01144_000_20260306132707_91.13.BIN,83.75,06/03/2026 14:48
TG047_47775_67734_01145_000_20260306144900_91.13.BIN,10.41,06/03/2026 14:48
TG047_47776_66986_01423_000_20260306233336_91.13.BIN,35.65,06/03/2026 23:34
TG047_47777_66527_01273_000_20260306121043_91.13.BIN,47.04,06/03/2026 19:41
TG047_47777_66527_01274_000_20260306194008_91.13.BIN,33.83,06/03/2026 19:41
TG047_47778_67365_00702_000_20260306130534_91.13.BIN,37.87,06/03/2026 13:05
TG047_47779_66302_01626_000_20260306124100_91.13.BIN,76.15,06/03/2026 14:02
TG047_47779_66302_01627_000_20260306140247_91.13.BIN,11.96,06/03/2026 14:02
TG047_47779_66302_01628_000_20260306235626_91.13.BIN,39.35,07/03/2026 00:00
TG047_47780_68094_01436_000_20260306102725_91.13.BIN,24.45,06/03/2026 10:37
TG047_47781_67478_00144_000_20260306132443_91.13.BIN,63.50,06/03/2026 19:47
TG047_47781_67478_00145_000_20260306191744_91.13.BIN,46.26,06/03/2026 19:47
