Arquivo,Tamanho (KB),Data Modificação
TG047_47262_66825_01472_000_20260112115013_91.13.BIN,19.33,12/01/2026 11:55
TG047_47262_66825_01473_000_20260112223034_91.13.BIN,21.17,12/01/2026 22:46
TG047_47270_66617_01249_000_20260112124916_91.13.BIN,28.50,12/01/2026 12:49
TG047_47567_68092_01131_000_20260112063535_91.13.BIN,6.01,12/01/2026 07:00
TG047_47674_66981_01664_000_20260112082029_91.13.BIN,27.06,12/01/2026 08:22
TG047_47677_66707_01204_000_20260112094129_91.13.BIN,15.21,12/01/2026 10:07
TG047_47677_66707_01205_000_20260112210630_91.13.BIN,8.58,12/01/2026 21:05
TG047_47678_66551_00033_000_20260112135828_91.13.BIN,23.89,12/01/2026 13:58
TG047_47678_66551_00034_000_20260112154450_91.13.BIN,2.69,12/01/2026 15:44
TG047_47680_66279_01007_000_20260112110131_91.13.BIN,23.53,12/01/2026 11:02
TG047_47680_66279_01008_000_20260112232931_91.13.BIN,18.12,12/01/2026 23:30
TG047_47681_67612_01412_000_20260112124253_91.13.BIN,26.44,12/01/2026 12:43
TG047_47681_67612_01413_000_20260112215235_91.13.BIN,17.74,12/01/2026 22:05
TG047_47683_66467_01275_000_20260112143118_91.13.BIN,43.74,12/01/2026 17:07
TG047_47683_66467_01276_000_20260112165721_91.13.BIN,4.87,12/01/2026 17:07
TG047_47684_66375_01331_000_20260112095009_91.13.BIN,22.02,12/01/2026 10:14
TG047_47687_66967_01182_000_20260112130453_91.13.BIN,37.05,12/01/2026 21:52
TG047_47687_66967_01183_000_20260112212956_91.13.BIN,27.90,12/01/2026 21:52
TG047_47688_67909_01453_000_20260112141715_91.13.BIN,33.76,12/01/2026 21:46
TG047_47688_67909_01454_000_20260112214735_91.13.BIN,13.98,12/01/2026 21:46
TG047_47689_66347_01192_000_20260112090411_91.13.BIN,19.39,12/01/2026 09:12
TG047_47689_66347_01193_000_20260112221359_91.13.BIN,16.43,12/01/2026 22:15
TG047_47694_66342_01458_000_20260112063406_91.13.BIN,3.15,12/01/2026 06:34
TG047_47694_66342_01459_000_20260112133351_91.13.BIN,13.25,12/01/2026 13:34
TG047_47695_67812_01395_000_20260112124553_91.13.BIN,48.41,12/01/2026 15:04
TG047_47695_67812_01396_000_20260112150449_91.13.BIN,14.67,12/01/2026 15:04
TG047_47697_67792_01187_000_20260112142225_91.13.BIN,38.57,12/01/2026 14:25
TG047_47752_68045_01395_000_20260112140047_91.13.BIN,57.37,12/01/2026 22:15
TG047_47752_68045_01396_000_20260112221519_91.13.BIN,29.17,12/01/2026 22:15
TG047_47753_66156_01226_000_20260112170244_91.13.BIN,8.28,12/01/2026 17:04
TG047_47754_66169_00215_000_20260112044513_91.13.BIN,34.40,12/01/2026 23:22
TG047_47754_66169_00216_000_20260112044513_91.13.BIN,28.66,12/01/2026 23:22
TG047_47758_67499_01137_000_20260112140334_91.13.BIN,30.50,12/01/2026 23:40
TG047_47758_67499_01138_000_20260112233725_91.13.BIN,28.27,12/01/2026 23:40
TG047_47759_67610_00945_000_20260112124219_91.13.BIN,14.14,12/01/2026 20:42
TG047_47759_67610_00946_000_20260112204142_91.13.BIN,32.83,12/01/2026 20:42
TG047_47760_66641_00581_000_20260112140417_91.13.BIN,53.30,12/01/2026 20:10
TG047_47760_66641_00582_000_20260112194715_91.13.BIN,22.05,12/01/2026 20:10
TG047_47760_66641_00583_000_20260112232228_91.13.BIN,6.99,12/01/2026 23:23
TG047_47761_67438_00983_000_20260112093050_91.13.BIN,8.80,12/01/2026 09:31
TG047_47761_67438_00984_000_20260112155255_91.13.BIN,15.16,12/01/2026 22:28
TG047_47761_67438_00985_000_20260112222907_91.13.BIN,23.55,12/01/2026 22:28
TG047_47763_66211_01163_000_20260112132002_91.13.BIN,43.17,12/01/2026 21:29
TG047_47763_66211_01164_000_20260112212840_91.13.BIN,36.93,12/01/2026 21:29
TG047_47764_66995_01107_000_20260112142711_91.13.BIN,36.09,12/01/2026 23:31
TG047_47764_66995_01108_000_20260112232905_91.13.BIN,21.41,12/01/2026 23:31
TG047_47765_67798_01136_000_20260112151205_91.13.BIN,8.84,13/01/2026 00:04
TG047_47765_67798_01137_000_20260112180336_91.13.BIN,17.61,13/01/2026 00:04
TG047_47765_67798_01138_000_20260112233324_91.13.BIN,21.94,13/01/2026 00:04
TG047_47766_68092_01132_000_20260112070204_91.13.BIN,2.54,12/01/2026 07:04
TG047_47766_68092_01133_000_20260112123729_91.13.BIN,13.10,12/01/2026 19:56
TG047_47766_68092_01134_000_20260112195720_91.13.BIN,25.06,12/01/2026 19:56
TG047_47767_66871_01331_000_20260112130441_91.13.BIN,44.48,12/01/2026 21:29
TG047_47767_66871_01332_000_20260112205816_91.13.BIN,46.44,12/01/2026 21:30
TG047_47769_66739_00781_000_20260112152511_91.13.BIN,43.63,12/01/2026 22:19
TG047_47769_66739_00782_000_20260112220127_91.13.BIN,30.28,12/01/2026 22:19
TG047_47770_67049_01274_000_20260112130239_91.13.BIN,50.21,12/01/2026 21:02
TG047_47770_67049_01275_000_20260112194355_91.13.BIN,31.19,12/01/2026 21:02
TG047_47771_67712_01420_000_20260112140319_91.13.BIN,44.71,12/01/2026 21:11
TG047_47771_67712_01421_000_20260112211153_91.13.BIN,22.90,12/01/2026 21:11
TG047_47772_67717_01283_000_20260112121302_91.13.BIN,30.73,12/01/2026 20:00
TG047_47772_67717_01284_000_20260112200108_91.13.BIN,49.95,12/01/2026 20:00
TG047_47774_66766_01390_000_20260112134133_91.13.BIN,33.57,12/01/2026 21:28
TG047_47774_66766_01391_000_20260112211052_91.13.BIN,26.67,12/01/2026 21:28
TG047_47775_67734_01055_000_20260112050549_91.13.BIN,6.04,12/01/2026 05:06
TG047_47776_66986_01364_000_20260112091836_91.13.BIN,16.89,12/01/2026 09:17
TG047_47777_66527_01208_000_20260112120619_91.13.BIN,31.19,12/01/2026 12:33
TG047_47777_66527_01209_000_20260112193004_91.13.BIN,30.87,12/01/2026 19:30
TG047_47778_67365_00626_000_20260112132757_91.13.BIN,31.88,12/01/2026 20:50
