Arquivo,Tamanho (KB),Data Modificação
TG040_47773_67630_01312_000_20260211132728_91.13.BIN,29.56,11/02/2026 13:29
TG047_47677_66707_01223_000_20260211035915_91.13.BIN,12.50,11/02/2026 03:59
TG047_47754_66169_00240_000_20260211040247_91.13.BIN,37.33,11/02/2026 23:31
TG047_47754_66169_00241_000_20260211040247_91.13.BIN,38.07,11/02/2026 23:31
TG047_47758_67499_01145_000_20260211141157_91.13.BIN,50.04,11/02/2026 22:34
TG047_47758_67499_01146_000_20260211223049_91.13.BIN,34.71,11/02/2026 22:34
TG047_47760_66641_00611_000_20260211141650_91.13.BIN,33.07,11/02/2026 22:23
TG047_47760_66641_00612_000_20260211220325_91.13.BIN,11.93,11/02/2026 22:23
TG047_47763_66211_01197_000_20260211131631_91.13.BIN,35.00,11/02/2026 20:02
TG047_47763_66211_01198_000_20260211193523_91.13.BIN,41.19,11/02/2026 20:02
TG047_47764_66995_01139_000_20260211103506_91.13.BIN,27.45,11/02/2026 10:36
TG047_47764_66995_01140_000_20260211192104_91.13.BIN,57.58,11/02/2026 19:20
TG047_47766_68092_01171_000_20260211131643_91.13.BIN,28.20,11/02/2026 21:03
TG047_47766_68092_01172_000_20260211204635_91.13.BIN,38.68,11/02/2026 21:03
TG047_47767_66871_01369_000_20260211125107_91.13.BIN,65.30,11/02/2026 19:31
TG047_47767_66871_01370_000_20260211192630_91.13.BIN,36.22,11/02/2026 19:31
TG047_47769_66739_00816_000_20260211123032_91.13.BIN,28.46,11/02/2026 19:50
TG047_47769_66739_00817_000_20260211192414_91.13.BIN,38.29,11/02/2026 19:50
TG047_47770_67049_01314_000_20260211155958_91.13.BIN,96.67,11/02/2026 16:01
TG047_47770_67049_01315_000_20260211234108_91.13.BIN,44.79,11/02/2026 23:58
TG047_47771_67712_01462_000_20260211142942_91.13.BIN,37.39,11/02/2026 21:15
TG047_47771_67712_01463_000_20260211211511_91.13.BIN,29.50,11/02/2026 21:15
TG047_47772_67717_01309_000_20260211123932_91.13.BIN,26.98,11/02/2026 21:20
TG047_47772_67717_01310_000_20260211211945_91.13.BIN,32.20,11/02/2026 21:20
TG047_47774_68049_00623_000_20260211164712_91.13.BIN,30.73,11/02/2026 16:49
TG047_47774_68049_00624_000_20260211225709_91.13.BIN,13.12,11/02/2026 22:55
TG047_47775_67734_01094_000_20260211115320_91.13.BIN,38.87,11/02/2026 12:09
TG047_47775_67734_01095_000_20260211232544_91.13.BIN,47.57,11/02/2026 23:31
TG047_47776_66986_01388_000_20260211132312_91.13.BIN,40.71,11/02/2026 14:39
TG047_47776_66986_01389_000_20260211203824_91.13.BIN,17.69,11/02/2026 20:37
TG047_47777_66527_01247_000_20260211114120_91.13.BIN,51.84,11/02/2026 20:18
TG047_47777_66527_01248_000_20260211114154_91.13.BIN,1.26,11/02/2026 20:18
TG047_47777_66527_01249_000_20260211201140_91.13.BIN,44.00,11/02/2026 20:18
TG047_47778_67365_00657_000_20260211083924_91.13.BIN,23.27,11/02/2026 08:40
TG047_47778_67365_00658_000_20260211121318_91.13.BIN,6.58,11/02/2026 19:53
TG047_47778_67365_00659_000_20260211192907_91.13.BIN,35.95,11/02/2026 19:54
TG047_47779_66302_01580_000_20260211121448_91.13.BIN,66.87,11/02/2026 19:52
TG047_47779_66302_01581_000_20260211193939_91.13.BIN,54.94,11/02/2026 19:52
TG047_47780_68094_01384_000_20260211151135_91.13.BIN,30.86,11/02/2026 22:01
TG047_47780_68094_01385_000_20260211214342_91.13.BIN,28.67,11/02/2026 22:01
TG047_47781_67478_00107_000_20260211141330_91.13.BIN,64.47,12/02/2026 00:04
TG047_47781_67478_00108_000_20260211235906_91.13.BIN,48.90,12/02/2026 00:04
TG047_47782_66352_01033_000_20260211123637_91.13.BIN,50.98,11/02/2026 19:48
TG047_47782_66352_01034_000_20260211194712_91.13.BIN,19.52,11/02/2026 19:48
TG047_47783_66856_01268_000_20260211125215_91.13.BIN,40.13,11/02/2026 20:11
TG047_47783_66856_01269_000_20260211194640_91.13.BIN,37.57,11/02/2026 20:11
TG047_47785_66174_01300_000_20260211143746_91.13.BIN,52.83,11/02/2026 23:16
TG047_47785_66174_01301_000_20260211231032_91.13.BIN,55.37,11/02/2026 23:16
TG202_200655_66144_01581_000_20260211125504_91.13.BIN,39.87,11/02/2026 19:40
TG202_200655_66144_01582_000_20260211193938_91.13.BIN,32.50,11/02/2026 19:40
TG202_200700_66102_01452_000_20260211201818_91.13.BIN,20.09,11/02/2026 20:17
TG202_200702_66126_01318_000_20260211131328_91.13.BIN,43.79,11/02/2026 13:17
TG202_200702_66126_01319_000_20260211143312_91.13.BIN,2.86,11/02/2026 14:33
TG202_200702_66126_01320_000_20260211201154_91.13.BIN,20.02,11/02/2026 20:09
TG202_200703_66572_01540_000_20260211115630_91.13.BIN,50.89,11/02/2026 19:29
TG202_200703_66572_01541_000_20260211190529_91.13.BIN,87.34,11/02/2026 19:30
TG202_200704_66858_01467_000_20260211141850_91.13.BIN,49.28,11/02/2026 14:21
TG202_200704_66858_01468_000_20260211215353_91.13.BIN,18.84,11/02/2026 21:55
TG202_200706_66697_01653_000_20260211070639_91.13.BIN,4.71,11/02/2026 07:09
TG202_200706_66697_01654_000_20260211124735_91.13.BIN,42.50,11/02/2026 20:15
TG202_200706_66697_01655_000_20260211200454_91.13.BIN,79.91,11/02/2026 20:15
TG202_200708_66179_01177_000_20260211133225_91.13.BIN,31.98,11/02/2026 21:28
TG202_200708_66179_01178_000_20260211195733_91.13.BIN,32.95,11/02/2026 21:28
TG202_200710_66216_01534_000_20260211151851_91.13.BIN,44.05,11/02/2026 15:21
TG202_200710_66216_01535_000_20260211222200_91.13.BIN,24.66,11/02/2026 22:21
TG202_200712_66966_01366_000_20260211062710_91.13.BIN,3.74,11/02/2026 06:27
TG202_200714_66916_01382_000_20260211132353_91.13.BIN,73.01,11/02/2026 18:47
TG202_200714_66916_01383_000_20260211182339_91.13.BIN,45.36,11/02/2026 18:47
TG202_200715_67458_01577_000_20260211055228_91.13.BIN,3.36,11/02/2026 05:52
TG202_200716_66640_01100_000_20260211130914_91.13.BIN,25.45,11/02/2026 15:56
TG202_200716_66640_01101_000_20260211155537_91.13.BIN,17.21,11/02/2026 15:56
TG202_200717_66709_01116_000_20260211060242_91.13.BIN,3.38,11/02/2026 06:02
TG202_200717_66709_01117_000_20260211060413_91.13.BIN,2.08,11/02/2026 22:40
TG202_200717_66709_01118_000_20260211155233_91.13.BIN,48.04,11/02/2026 22:41
TG202_200717_66709_01119_000_20260211223407_91.13.BIN,36.14,11/02/2026 22:41
TG202_200722_67546_01277_000_20260211050331_91.13.BIN,4.60,11/02/2026 13:44
TG202_200722_67546_01278_000_20260211134225_91.13.BIN,54.27,11/02/2026 13:44
TG202_200722_67546_01279_000_20260211134623_91.13.BIN,2.10,11/02/2026 14:14
TG202_200722_67546_01280_000_20260211141307_91.13.BIN,2.93,11/02/2026 14:14
TG202_200723_66521_01053_000_20260211132102_91.13.BIN,13.29,11/02/2026 21:44
TG202_200723_66521_01054_000_20260211213959_91.13.BIN,10.10,11/02/2026 21:44
TG202_200724_66725_01506_000_20260211122611_91.13.BIN,56.48,11/02/2026 22:11
TG202_200724_66725_01507_000_20260211190416_91.13.BIN,37.01,11/02/2026 22:11
TG202_200724_66725_01508_000_20260211221002_91.13.BIN,7.16,11/02/2026 22:11
TG202_200725_66265_01248_000_20260211124248_91.13.BIN,23.50,11/02/2026 12:44
TG202_200734_66166_01097_000_20260211132918_91.13.BIN,33.72,11/02/2026 14:20
TG202_200734_66166_01098_000_20260211141804_91.13.BIN,6.80,11/02/2026 14:20
TG202_200734_66166_01099_000_20260211233528_91.13.BIN,50.24,11/02/2026 23:33
TG202_200736_67510_01264_000_20260211131504_91.13.BIN,18.39,11/02/2026 13:52
TG202_200739_66756_01346_000_20260211100122_91.13.BIN,29.49,11/02/2026 10:02
TG202_200739_66756_01347_000_20260211220552_91.13.BIN,21.67,11/02/2026 22:13
TG202_200742_67100_01322_000_20260211153017_91.13.BIN,44.31,11/02/2026 22:48
TG202_200742_67100_01323_000_20260211224724_91.13.BIN,33.29,11/02/2026 22:48
TG202_200743_66839_01207_000_20260211124959_91.13.BIN,66.93,11/02/2026 16:48
TG202_200743_66839_01208_000_20260211164623_91.13.BIN,18.12,11/02/2026 16:48
TG202_200748_66657_00984_000_20260211132810_91.13.BIN,37.26,11/02/2026 20:26
TG202_200748_66657_00985_000_20260211201115_91.13.BIN,40.40,11/02/2026 20:26
