Arquivo,Tamanho (KB),Data Modificação
TG047_47678_66551_00055_000_20260124094911_91.13.BIN,3.64,24/01/2026 09:49
TG047_47681_67612_01436_000_20260124091756_91.13.BIN,12.69,24/01/2026 09:39
TG047_47760_66641_00603_000_20260124100850_91.13.BIN,3.71,24/01/2026 10:09
TG047_47771_67712_01445_000_20260124082852_91.13.BIN,3.51,24/01/2026 08:29
TG047_47777_66527_01231_000_20260124082704_91.13.BIN,3.62,24/01/2026 08:47
TG047_47779_66302_01568_000_20260124080402_91.13.BIN,3.71,24/01/2026 08:05
TG047_47782_66352_01018_000_20260124085240_91.13.BIN,19.90,24/01/2026 08:54
TG202_200528_66916_01377_000_20260124065709_91.13.BIN,3.07,24/01/2026 08:59
TG202_200644_67700_01365_000_20260124091958_91.13.BIN,3.03,24/01/2026 09:20
TG202_200701_68102_01538_000_20260124082631_91.13.BIN,3.52,24/01/2026 08:27
TG202_200706_66697_01642_000_20260124075214_91.13.BIN,3.89,24/01/2026 07:53
TG202_200708_66179_01170_000_20260124084235_91.13.BIN,3.60,24/01/2026 08:42
TG202_200732_66952_01167_000_20260124082939_91.13.BIN,4.89,24/01/2026 08:31
TG202_200736_67510_01252_000_20260124064802_91.13.BIN,3.19,24/01/2026 09:06
TG202_200736_67510_01253_000_20260124090615_91.13.BIN,1.82,24/01/2026 09:06
