Arquivo,Tamanho (KB),Data Modificação
TG047_47681_67612_01439_000_20260129110359_91.13.BIN,21.00,29/01/2026 11:10
TG047_47771_67712_01451_000_20260129044512_91.13.BIN,4.12,29/01/2026 07:03
TG047_47771_67712_01452_000_20260129070227_91.13.BIN,2.97,29/01/2026 07:03
TG047_47783_66856_01259_000_20260129091149_91.13.BIN,27.01,29/01/2026 09:13
TG202_200644_67700_01371_000_20260129071219_91.13.BIN,4.26,29/01/2026 07:13
TG202_200702_66126_01312_000_20260129071044_91.13.BIN,3.64,29/01/2026 07:10
TG202_200703_66572_01533_000_20260129060210_91.13.BIN,3.36,29/01/2026 06:02
TG202_200710_66216_01526_000_20260129070641_91.13.BIN,3.24,29/01/2026 07:07
TG202_200729_66187_01354_000_20260129134101_91.13.BIN,39.97,29/01/2026 13:41
TG202_200734_66166_01094_000_20260129063907_91.13.BIN,3.52,29/01/2026 06:40
TG202_200739_66756_01335_000_20260129072519_91.13.BIN,3.32,29/01/2026 08:31
TG202_200742_67100_01317_000_20260129062915_91.13.BIN,7.88,29/01/2026 06:29
