Arquivo,Tamanho (KB),Data Modificação
TG047_47767_66871_01312_000_20260101001152_91.13.BIN,25.86,01/01/2026 00:14
TG047_47262_66825_01459_000_20260101140040_91.13.BIN,16.01,01/01/2026 14:37
TG047_47674_66981_01654_000_20260101081557_91.13.BIN,9.40,01/01/2026 08:15
TG047_47676_67903_01513_000_20260101211956_91.13.BIN,19.77,01/01/2026 21:42
TG047_47681_67612_01398_000_20260101104154_91.13.BIN,6.25,01/01/2026 10:42
TG047_47688_67909_01440_000_20260101140707_91.13.BIN,10.33,01/01/2026 15:07
TG047_47688_67909_01441_000_20260101150632_91.13.BIN,2.36,01/01/2026 15:07
TG047_47763_66211_01146_000_20260101142327_91.13.BIN,12.40,01/01/2026 22:15
TG047_47763_66211_01147_000_20260101221359_91.13.BIN,9.38,01/01/2026 22:15
TG047_47764_66995_01090_000_20260101060113_91.13.BIN,3.50,01/01/2026 22:24
TG047_47764_66995_01091_000_20260101135133_91.13.BIN,22.48,01/01/2026 22:24
TG047_47764_66995_01092_000_20260101221908_91.13.BIN,25.78,01/01/2026 22:24
TG047_47767_66871_01313_000_20260101122852_91.13.BIN,20.25,01/01/2026 21:09
TG047_47767_66871_01314_000_20260101203312_91.13.BIN,19.38,01/01/2026 21:09
TG047_47769_66739_00760_000_20260101214046_91.13.BIN,12.13,01/01/2026 21:56
TG047_47770_67049_01253_000_20260101222048_91.13.BIN,30.42,01/01/2026 22:41
TG047_47772_67717_01265_000_20260101130625_91.13.BIN,7.56,01/01/2026 13:06
TG047_47774_66766_01368_000_20260101222616_91.13.BIN,11.55,01/01/2026 22:28
TG047_47775_67734_01036_000_20260101104947_91.13.BIN,15.03,01/01/2026 22:35
TG047_47775_67734_01037_000_20260101141337_91.13.BIN,9.65,01/01/2026 22:35
TG047_47775_67734_01038_000_20260101222647_91.13.BIN,12.29,01/01/2026 22:35
TG047_47776_66986_01344_000_20260101144118_91.13.BIN,17.27,01/01/2026 23:16
TG047_47776_66986_01345_000_20260101231628_91.13.BIN,17.97,01/01/2026 23:16
TG047_47780_68094_01334_000_20260101132645_91.13.BIN,17.17,01/01/2026 22:14
TG047_47780_68094_01335_000_20260101133636_91.13.BIN,2.36,01/01/2026 22:14
TG047_47780_68094_01336_000_20260101220106_91.13.BIN,15.71,01/01/2026 22:14
TG047_47781_67478_00049_000_20260101133605_91.13.BIN,24.87,01/01/2026 13:36
TG047_47782_66352_00977_000_20260101142742_91.13.BIN,14.46,01/01/2026 21:42
TG047_47782_66352_00978_000_20260101213839_91.13.BIN,11.86,01/01/2026 21:42
TG047_47785_66174_01249_000_20260101130902_91.13.BIN,42.67,01/01/2026 13:45
TG047_47785_66174_01250_000_20260101134552_91.13.BIN,3.96,01/01/2026 13:45
TG047_47900_67980_01290_000_20260101125044_91.13.BIN,13.58,01/01/2026 12:53
TG047_47900_67980_01291_000_20260101213655_91.13.BIN,10.78,01/01/2026 21:37
TG202_200653_67221_01033_000_20260101140630_91.13.BIN,10.49,01/01/2026 14:07
TG202_200653_67221_01034_000_20260101212628_91.13.BIN,7.14,01/01/2026 21:27
TG202_200700_66102_01397_000_20260101123025_91.13.BIN,20.84,01/01/2026 12:30
TG202_200701_68102_01497_000_20260101135351_91.13.BIN,4.41,01/01/2026 13:54
TG202_200702_66126_01257_000_20260101061027_91.13.BIN,3.40,01/01/2026 14:16
TG202_200702_66126_01258_000_20260101061219_91.13.BIN,1.94,01/01/2026 14:16
TG202_200702_66126_01259_000_20260101133802_91.13.BIN,16.21,01/01/2026 14:16
TG202_200702_66126_01260_000_20260101231407_91.13.BIN,16.08,01/01/2026 23:40
TG202_200704_66858_01407_000_20260101133644_91.13.BIN,15.28,01/01/2026 14:13
TG202_200708_66179_01119_000_20260101143532_91.13.BIN,16.63,01/01/2026 17:52
TG202_200708_66179_01120_000_20260101162830_91.13.BIN,5.10,01/01/2026 17:52
TG202_200710_66216_01480_000_20260101144318_91.13.BIN,19.12,01/01/2026 21:58
TG202_200710_66216_01481_000_20260101214516_91.13.BIN,14.38,01/01/2026 21:58
TG202_200712_66966_01299_000_20260101143737_91.13.BIN,15.76,01/01/2026 22:55
TG202_200712_66966_01300_000_20260101225512_91.13.BIN,9.12,01/01/2026 22:55
TG202_200713_66199_01419_000_20260101144720_91.13.BIN,10.70,01/01/2026 16:04
TG202_200714_66344_01474_000_20260101134007_91.13.BIN,17.45,01/01/2026 20:58
TG202_200714_66344_01475_000_20260101204608_91.13.BIN,24.51,01/01/2026 20:58
TG202_200715_67458_01523_000_20260101140250_91.13.BIN,5.69,01/01/2026 20:59
TG202_200715_67458_01524_000_20260101205839_91.13.BIN,8.74,01/01/2026 20:59
TG202_200716_66640_01053_000_20260101132110_91.13.BIN,7.32,01/01/2026 21:36
TG202_200716_66640_01054_000_20260101213704_91.13.BIN,5.02,01/01/2026 21:36
TG202_200719_67686_01514_000_20260101133957_91.13.BIN,12.50,01/01/2026 21:53
TG202_200719_67686_01515_000_20260101214504_91.13.BIN,27.77,01/01/2026 21:53
TG202_200722_67546_01216_000_20260101053218_91.13.BIN,3.20,01/01/2026 05:33
TG202_200722_67546_01217_000_20260101053322_91.13.BIN,1.39,01/01/2026 05:33
TG202_200722_67546_01218_000_20260101133638_91.13.BIN,13.13,01/01/2026 13:43
TG202_200723_66521_01005_000_20260101093006_91.13.BIN,4.59,01/01/2026 09:30
TG202_200723_66521_01006_000_20260101231509_91.13.BIN,18.54,01/01/2026 23:17
TG202_200724_66725_01456_000_20260101142440_91.13.BIN,17.73,01/01/2026 23:04
TG202_200724_66725_01457_000_20260101224646_91.13.BIN,12.32,01/01/2026 23:04
TG202_200725_66265_01195_000_20260101125657_91.13.BIN,16.74,01/01/2026 22:40
TG202_200725_66265_01196_000_20260101223352_91.13.BIN,17.23,01/01/2026 22:40
TG202_200727_66704_01067_000_20260101125539_91.13.BIN,25.82,01/01/2026 20:32
TG202_200727_66704_01068_000_20260101201635_91.13.BIN,39.77,01/01/2026 20:32
TG202_200728_67997_01053_000_20260101135003_91.13.BIN,8.41,01/01/2026 13:56
TG202_200729_66187_01303_000_20260101142301_91.13.BIN,12.34,01/01/2026 22:38
TG202_200729_66187_01304_000_20260101223823_91.13.BIN,11.35,01/01/2026 22:38
TG202_200732_66952_01116_000_20260101085001_91.13.BIN,7.78,01/01/2026 08:50
TG202_200732_66952_01117_000_20260101222257_91.13.BIN,18.80,01/01/2026 22:25
TG202_200733_67109_01454_000_20260101142734_91.13.BIN,23.65,01/01/2026 21:28
TG202_200733_67109_01455_000_20260101210719_91.13.BIN,22.88,01/01/2026 21:28
TG202_200734_66166_01046_000_20260101150014_91.13.BIN,12.40,01/01/2026 23:49
TG202_200734_66166_01047_000_20260101233451_91.13.BIN,19.05,01/01/2026 23:49
TG202_200735_66367_00540_000_20260101092933_91.13.BIN,4.15,01/01/2026 14:55
TG202_200735_66367_00541_000_20260101140154_91.13.BIN,10.88,01/01/2026 14:55
TG202_200736_67510_01206_000_20260101061248_91.13.BIN,4.41,01/01/2026 23:08
TG202_200736_67510_01207_000_20260101143319_91.13.BIN,15.24,01/01/2026 23:08
TG202_200736_67510_01208_000_20260101224956_91.13.BIN,25.28,01/01/2026 23:08
TG202_200739_66756_01287_000_20260101143042_91.13.BIN,9.74,01/01/2026 22:32
TG202_200739_66756_01288_000_20260101223202_91.13.BIN,19.34,01/01/2026 22:32
TG202_200742_67100_01287_000_20260101122907_91.13.BIN,15.41,01/01/2026 22:51
TG202_200742_67100_01288_000_20260101221952_91.13.BIN,29.91,01/01/2026 22:51
TG202_200743_66839_01154_000_20260101135916_91.13.BIN,23.89,01/01/2026 22:02
TG202_200743_66839_01155_000_20260101215044_91.13.BIN,22.44,01/01/2026 22:02
TG202_200746_66616_01461_000_20260101104846_91.13.BIN,26.05,01/01/2026 10:48
TG202_200747_66603_01081_000_20260101140755_91.13.BIN,7.97,01/01/2026 22:27
TG202_200747_66603_01082_000_20260101222705_91.13.BIN,12.33,01/01/2026 22:27
TG202_200748_66657_00916_000_20260101060852_91.13.BIN,3.45,01/01/2026 06:09
TG202_200750_67366_01359_000_20260101064332_91.13.BIN,3.47,01/01/2026 06:42
TG202_200751_68280_00177_000_20260101140909_91.13.BIN,22.20,01/01/2026 14:52
TG202_200751_68280_00178_000_20260101213042_91.13.BIN,16.49,01/01/2026 21:52
TG202_200701_68102_01498_000_20260101205844_91.13.BIN,12.92,02/01/2026 20:22
