Arquivo,Tamanho (KB),Data Modificação
TG040_47773_67630_01313_000_20260212073205_91.13.BIN,3.88,12/02/2026 07:32
TG047_47670_66824_01153_000_20260212092229_91.13.BIN,29.03,12/02/2026 09:27
TG047_47677_66707_01224_000_20260212131339_91.13.BIN,20.02,12/02/2026 13:14
TG047_47754_66169_00242_000_20260212040900_91.13.BIN,2.84,12/02/2026 04:26
TG047_47754_66169_00243_000_20260212052640_91.13.BIN,24.21,12/02/2026 23:03
TG047_47758_67499_01147_000_20260212141751_91.13.BIN,40.29,12/02/2026 22:40
TG047_47758_67499_01148_000_20260212223821_91.13.BIN,32.70,12/02/2026 22:41
TG047_47760_66641_00613_000_20260212144319_91.13.BIN,43.83,12/02/2026 21:46
TG047_47760_66641_00614_000_20260212214645_91.13.BIN,11.00,12/02/2026 21:46
TG047_47763_66211_01199_000_20260212132326_91.13.BIN,40.26,12/02/2026 22:09
TG047_47763_66211_01200_000_20260212212641_91.13.BIN,45.59,12/02/2026 22:09
TG047_47763_66211_01201_000_20260212231731_91.13.BIN,2.69,12/02/2026 23:40
TG047_47764_66995_01141_000_20260212135712_91.13.BIN,49.55,12/02/2026 14:11
TG047_47764_66995_01142_000_20260212202000_91.13.BIN,25.38,12/02/2026 20:43
TG047_47766_68092_01173_000_20260212134738_91.13.BIN,49.25,12/02/2026 23:26
TG047_47766_68092_01174_000_20260212232557_91.13.BIN,40.09,12/02/2026 23:26
TG047_47767_66871_01371_000_20260212075426_91.13.BIN,3.77,12/02/2026 07:55
TG047_47767_66871_01372_000_20260212212529_91.13.BIN,16.45,12/02/2026 21:34
TG047_47769_66739_00818_000_20260212123344_91.13.BIN,36.61,12/02/2026 19:59
TG047_47769_66739_00819_000_20260212195805_91.13.BIN,57.26,12/02/2026 19:59
TG047_47770_67049_01316_000_20260212123949_91.13.BIN,52.49,12/02/2026 20:22
TG047_47770_67049_01317_000_20260212194103_91.13.BIN,53.26,12/02/2026 20:22
TG047_47771_67712_01464_000_20260212123906_91.13.BIN,27.91,12/02/2026 20:03
TG047_47771_67712_01465_000_20260212200351_91.13.BIN,27.68,12/02/2026 20:03
TG047_47772_67717_01311_000_20260212063929_91.13.BIN,3.27,12/02/2026 06:39
TG047_47772_67717_01312_000_20260212131801_91.13.BIN,31.78,12/02/2026 21:06
TG047_47772_67717_01313_000_20260212210607_91.13.BIN,43.64,12/02/2026 21:06
TG047_47772_67717_01314_000_20260212231103_91.13.BIN,6.47,12/02/2026 23:45
TG047_47772_67717_01315_000_20260212234430_91.13.BIN,2.16,12/02/2026 23:45
TG047_47774_68049_00625_000_20260212144942_91.13.BIN,35.38,12/02/2026 21:36
TG047_47774_68049_00626_000_20260212213548_91.13.BIN,26.68,12/02/2026 21:37
TG047_47775_67734_01096_000_20260212121856_91.13.BIN,40.54,12/02/2026 20:35
TG047_47775_67734_01097_000_20260212195856_91.13.BIN,39.49,12/02/2026 20:35
TG047_47776_66986_01390_000_20260212131132_91.13.BIN,42.79,12/02/2026 20:40
TG047_47776_66986_01391_000_20260212202152_91.13.BIN,25.99,12/02/2026 20:40
TG047_47777_66527_01250_000_20260212115249_91.13.BIN,41.92,12/02/2026 19:37
TG047_47777_66527_01251_000_20260212193614_91.13.BIN,34.07,12/02/2026 19:37
TG047_47777_66527_01252_000_20260212232337_91.13.BIN,6.86,12/02/2026 23:25
TG047_47778_67365_00660_000_20260212140835_91.13.BIN,38.07,12/02/2026 14:08
TG047_47778_67365_00661_000_20260212234039_91.13.BIN,43.89,13/02/2026 00:00
TG047_47779_66302_01582_000_20260212125126_91.13.BIN,67.29,12/02/2026 20:19
TG047_47779_66302_01583_000_20260212194624_91.13.BIN,43.35,12/02/2026 20:19
TG047_47780_68094_01386_000_20260212123331_91.13.BIN,39.23,12/02/2026 20:51
TG047_47780_68094_01387_000_20260212123658_91.13.BIN,1.90,12/02/2026 20:51
TG047_47780_68094_01388_000_20260212123800_91.13.BIN,1.29,12/02/2026 20:51
TG047_47780_68094_01389_000_20260212123839_91.13.BIN,0.99,12/02/2026 20:51
TG047_47780_68094_01390_000_20260212202757_91.13.BIN,36.32,12/02/2026 20:51
TG047_47781_67478_00109_000_20260212125153_91.13.BIN,39.04,12/02/2026 20:27
TG047_47781_67478_00110_000_20260212201641_91.13.BIN,38.26,12/02/2026 20:27
TG047_47782_66352_01035_000_20260212142334_91.13.BIN,42.20,12/02/2026 23:39
TG047_47782_66352_01036_000_20260212233153_91.13.BIN,29.67,12/02/2026 23:39
TG047_47783_66856_01270_000_20260212151157_91.13.BIN,70.19,12/02/2026 15:12
TG047_47783_66856_01271_000_20260212233347_91.13.BIN,30.47,12/02/2026 23:35
TG047_47785_66174_01302_000_20260212144142_91.13.BIN,92.45,12/02/2026 20:03
TG047_47785_66174_01303_000_20260212200433_91.13.BIN,37.70,12/02/2026 20:03
TG202_200650_66726_01373_000_20260212050948_91.13.BIN,39.18,12/02/2026 05:16
