Arquivo,Tamanho (KB),Data Modificação
TG040_47773_67630_01316_000_20260219100006_91.13.BIN,34.85,19/02/2026 15:36
TG040_47773_67630_01317_000_20260219153700_91.13.BIN,25.89,19/02/2026 15:37
TG040_47773_67630_01318_000_20260219232131_91.13.BIN,30.61,19/02/2026 23:23
TG047_47670_66824_01158_000_20260219202311_91.13.BIN,36.38,19/02/2026 20:38
TG047_47673_67084_01501_000_20260219105950_91.13.BIN,48.49,19/02/2026 20:27
TG047_47673_67084_01502_000_20260219141430_91.13.BIN,2.59,19/02/2026 20:27
TG047_47673_67084_01503_000_20260219184551_91.13.BIN,7.46,19/02/2026 20:27
TG047_47677_66707_01232_000_20260219130319_91.13.BIN,24.86,19/02/2026 14:15
TG047_47677_66707_01233_000_20260219141515_91.13.BIN,2.44,19/02/2026 14:15
TG047_47753_66156_01245_000_20260219131357_91.13.BIN,39.43,19/02/2026 23:25
TG047_47753_66156_01246_000_20260219232546_91.13.BIN,22.84,19/02/2026 23:25
TG047_47758_67499_01159_000_20260219141410_91.13.BIN,53.86,19/02/2026 22:45
TG047_47758_67499_01160_000_20260219224528_91.13.BIN,31.43,19/02/2026 22:45
TG047_47763_66211_01214_000_20260219131710_91.13.BIN,73.31,19/02/2026 21:07
TG047_47763_66211_01215_000_20260219205742_91.13.BIN,59.71,19/02/2026 21:07
TG047_47764_66995_01152_000_20260219123736_91.13.BIN,51.75,19/02/2026 12:39
TG047_47766_68092_01189_000_20260219144254_91.13.BIN,56.19,19/02/2026 17:18
TG047_47766_68092_01190_000_20260219171806_91.13.BIN,7.38,19/02/2026 17:18
TG047_47767_66871_01385_000_20260219123015_91.13.BIN,53.49,19/02/2026 13:16
TG047_47767_66871_01386_000_20260219191754_91.13.BIN,46.59,19/02/2026 19:44
TG047_47767_66871_01387_000_20260219230037_91.13.BIN,15.93,19/02/2026 23:19
TG047_47769_66739_00832_000_20260219122517_91.13.BIN,38.84,19/02/2026 20:06
TG047_47769_66739_00833_000_20260219122705_91.13.BIN,2.29,19/02/2026 20:06
TG047_47769_66739_00834_000_20260219195853_91.13.BIN,41.59,19/02/2026 20:06
TG047_47771_67712_01478_000_20260219122625_91.13.BIN,28.72,19/02/2026 19:59
TG047_47771_67712_01479_000_20260219195933_91.13.BIN,40.58,19/02/2026 19:59
TG047_47771_67712_01480_000_20260219234316_91.13.BIN,11.96,19/02/2026 23:45
TG047_47772_67717_01329_000_20260219123536_91.13.BIN,41.83,19/02/2026 20:14
TG047_47772_67717_01330_000_20260219200555_91.13.BIN,47.08,19/02/2026 20:14
TG047_47774_68049_00637_000_20260219115622_91.13.BIN,41.67,19/02/2026 20:21
TG047_47774_68049_00638_000_20260219191055_91.13.BIN,40.28,19/02/2026 20:21
TG047_47774_68049_00639_000_20260219194234_91.13.BIN,2.68,19/02/2026 20:21
TG047_47775_67734_01108_000_20260219074402_91.13.BIN,11.47,20/02/2026 01:57
TG047_47775_67734_01109_000_20260219143555_91.13.BIN,12.90,20/02/2026 01:57
TG047_47775_67734_01110_000_20260219192204_91.13.BIN,14.70,20/02/2026 01:57
TG047_47775_67734_01111_000_20260219224120_91.13.BIN,14.37,20/02/2026 01:57
TG047_47776_66986_01404_000_20260219131454_91.13.BIN,50.64,19/02/2026 20:03
TG047_47776_66986_01405_000_20260219200022_91.13.BIN,24.91,19/02/2026 20:03
TG047_47778_67365_00674_000_20260219133157_91.13.BIN,33.70,19/02/2026 21:00
TG047_47778_67365_00675_000_20260219195113_91.13.BIN,35.67,19/02/2026 21:00
TG047_47780_68094_01407_000_20260219121334_91.13.BIN,43.51,19/02/2026 20:52
TG047_47780_68094_01408_000_20260219202515_91.13.BIN,36.54,19/02/2026 20:52
TG047_47782_66352_01046_000_20260219135133_91.13.BIN,49.67,19/02/2026 23:36
TG047_47782_66352_01047_000_20260219232838_91.13.BIN,45.05,19/02/2026 23:36
TG047_47783_66856_01283_000_20260219123555_91.13.BIN,60.77,19/02/2026 20:12
TG047_47783_66856_01284_000_20260219200327_91.13.BIN,47.87,19/02/2026 20:12
TG047_47785_66174_01314_000_20260219135233_91.13.BIN,83.40,19/02/2026 20:17
TG047_47785_66174_01315_000_20260219201734_91.13.BIN,55.58,19/02/2026 20:17
TG202_200650_66726_01380_000_20260219052116_91.13.BIN,13.45,19/02/2026 05:28
TG202_200655_66144_01595_000_20260219211636_91.13.BIN,15.78,19/02/2026 21:29
TG202_200659_67428_01144_000_20260219063941_91.13.BIN,9.15,19/02/2026 06:40
TG202_200667_66231_01007_000_20260219112839_91.13.BIN,44.78,19/02/2026 11:33
TG202_200667_66231_01008_000_20260219201303_91.13.BIN,46.29,19/02/2026 20:18
TG202_200700_66102_01469_000_20260219122747_91.13.BIN,69.48,19/02/2026 19:52
TG202_200700_66102_01470_000_20260219193600_91.13.BIN,82.71,19/02/2026 19:52
TG202_200702_66126_01327_000_20260219115435_91.13.BIN,66.67,19/02/2026 20:31
TG202_200702_66126_01328_000_20260219202816_91.13.BIN,95.77,19/02/2026 20:31
TG202_200704_66858_01484_000_20260219144116_91.13.BIN,62.87,19/02/2026 23:28
TG202_200704_66858_01485_000_20260219232809_91.13.BIN,18.34,19/02/2026 23:28
TG202_200708_66179_01193_000_20260219132703_91.13.BIN,58.21,19/02/2026 20:35
TG202_200708_66179_01194_000_20260219201543_91.13.BIN,32.82,19/02/2026 20:35
TG202_200710_66216_01552_000_20260219132827_91.13.BIN,47.36,19/02/2026 13:58
TG202_200710_66216_01553_000_20260219220513_91.13.BIN,26.88,19/02/2026 22:05
TG202_200714_66916_01401_000_20260219064711_91.13.BIN,3.93,19/02/2026 13:05
TG202_200714_66916_01402_000_20260219130339_91.13.BIN,39.42,19/02/2026 13:07
TG202_200714_66916_01403_000_20260219210707_91.13.BIN,22.11,19/02/2026 21:55
TG202_200716_66640_01113_000_20260219143638_91.13.BIN,32.49,19/02/2026 15:34
TG202_200717_66709_01134_000_20260219132253_91.13.BIN,59.78,19/02/2026 22:24
TG202_200717_66709_01135_000_20260219222124_91.13.BIN,50.09,19/02/2026 22:24
TG202_200722_67546_01293_000_20260219141413_91.13.BIN,49.92,19/02/2026 19:01
TG202_200722_67546_01294_000_20260219190013_91.13.BIN,20.16,19/02/2026 19:01
TG202_200723_66521_01065_000_20260219205730_91.13.BIN,36.72,19/02/2026 21:57
TG202_200727_66704_01106_000_20260219121750_91.13.BIN,49.60,19/02/2026 12:17
TG202_200727_66704_01107_000_20260219132926_91.13.BIN,3.93,19/02/2026 13:28
TG202_200727_66704_01108_000_20260219210045_91.13.BIN,53.86,19/02/2026 21:02
TG202_200729_66187_01372_000_20260219103654_91.13.BIN,25.16,19/02/2026 10:37
TG202_200729_66187_01373_000_20260219103927_91.13.BIN,2.50,19/02/2026 10:39
TG202_200729_66187_01374_000_20260219202126_91.13.BIN,24.43,19/02/2026 20:36
TG202_200733_68276_01143_000_20260219142523_91.13.BIN,61.83,19/02/2026 21:50
TG202_200733_68276_01144_000_20260219214929_91.13.BIN,37.62,19/02/2026 21:50
TG202_200742_67100_01337_000_20260219130133_91.13.BIN,66.90,19/02/2026 19:38
TG202_200742_67100_01338_000_20260219192704_91.13.BIN,66.14,19/02/2026 19:38
TG202_200742_67100_01339_000_20260219221205_91.13.BIN,4.48,19/02/2026 22:11
TG202_200743_66839_01219_000_20260219101411_91.13.BIN,28.98,19/02/2026 10:15
TG202_200744_66282_01428_000_20260219190824_91.13.BIN,24.80,19/02/2026 19:10
TG202_200747_66603_01147_000_20260219150512_91.13.BIN,39.86,19/02/2026 15:10
TG202_200748_66657_01001_000_20260219132315_91.13.BIN,51.45,19/02/2026 20:29
TG202_200748_66657_01002_000_20260219153727_91.13.BIN,16.28,19/02/2026 20:29
TG202_200748_66657_01003_000_20260219200917_91.13.BIN,34.32,19/02/2026 20:30
